,Work_period_start,Work_period_end,Wiki_id
211,"work period (start)
1943
1 reference",,http://www.wikidata.org/entity/Q3297625
212,"work period (start)
1988
1 reference",,http://www.wikidata.org/entity/Q3031096
213,"work period (start)
1997
1 reference",,http://www.wikidata.org/entity/Q3496304
214,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q3497323
215,"work period (start)
1984
1 reference",,http://www.wikidata.org/entity/Q3021150
216,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q3165960
217,"work period (start)
2010
0 references",,http://www.wikidata.org/entity/Q3046959
218,,,http://www.wikidata.org/entity/Q3519476
219,"work period (start)
1960
1 reference",,http://www.wikidata.org/entity/Q3519783
220,,,http://www.wikidata.org/entity/Q3520003
221,"work period (start)
2009
1 reference",,http://www.wikidata.org/entity/Q3520293
222,"work period (start)
1988
1 reference",,http://www.wikidata.org/entity/Q3348185
223,,,http://www.wikidata.org/entity/Q3348752
224,"work period (start)
1971
1 reference","work period (end)
2018
0 references",http://www.wikidata.org/entity/Q3191765
225,,,http://www.wikidata.org/entity/Q3192675
226,"work period (start)
1967
1 reference","work period (end)
2003
0 references",http://www.wikidata.org/entity/Q3196775
227,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q3381455
228,"work period (start)
1940
1 reference","work period (end)
1978
0 references",http://www.wikidata.org/entity/Q3111264
229,"work period (start)
1982
1 reference",,http://www.wikidata.org/entity/Q3115713
230,,,http://www.wikidata.org/entity/Q3191769
231,"work period (start)
1941
1 reference","work period (end)
2015
0 references",http://www.wikidata.org/entity/Q3115598
232,"work period (start)
1951
1 reference",,http://www.wikidata.org/entity/Q3182985
233,"work period (start)
1980
1 reference",,http://www.wikidata.org/entity/Q3489680
234,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q3494299
235,"work period (start)
2006
1 reference",,http://www.wikidata.org/entity/Q3494290
236,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q3494501
237,"work period (start)
2008
1 reference",,http://www.wikidata.org/entity/Q3344874
238,"work period (start)
1972
1 reference",,http://www.wikidata.org/entity/Q3345399
239,"work period (start)
1992
1 reference",,http://www.wikidata.org/entity/Q3501376
240,,,http://www.wikidata.org/entity/Q3349404
241,"work period (start)
1976
1 reference",,http://www.wikidata.org/entity/Q3351697
242,"work period (start)
2008
1 reference",,http://www.wikidata.org/entity/Q3515360
243,"work period (start)
1969
1 reference",,http://www.wikidata.org/entity/Q3518417
244,"work period (start)
1982
1 reference",,http://www.wikidata.org/entity/Q3519929
245,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q3519936
246,"work period (start)
2004
1 reference",,http://www.wikidata.org/entity/Q3520260
247,"work period (start)
1974
1 reference",,http://www.wikidata.org/entity/Q3518383
248,"work period (start)
1991
1 reference",,http://www.wikidata.org/entity/Q3519791
249,,,http://www.wikidata.org/entity/Q3288504
250,,,http://www.wikidata.org/entity/Q3228884
251,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q3236611
252,,,http://www.wikidata.org/entity/Q3481124
253,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q3374204
254,"work period (start)
1971
1 reference",,http://www.wikidata.org/entity/Q464932
255,"work period (start)
1995
0 references",,http://www.wikidata.org/entity/Q468442
256,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q469887
257,"work period (start)
1962
1 reference",,http://www.wikidata.org/entity/Q541513
258,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q555778
259,"work period (start)
2004
1 reference",,http://www.wikidata.org/entity/Q684474
260,"work period (start)
1990
1 reference",,http://www.wikidata.org/entity/Q339896
261,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q331155
262,"work period (start)
1985
1 reference",,http://www.wikidata.org/entity/Q337434
263,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q485557
264,,,http://www.wikidata.org/entity/Q334825
265,,,http://www.wikidata.org/entity/Q540496
266,"work period (start)
1966
1 reference",,http://www.wikidata.org/entity/Q547900
267,,,http://www.wikidata.org/entity/Q560094
268,"work period (start)
1939
1 reference","work period (end)
1972
0 references",http://www.wikidata.org/entity/Q465848
269,"work period (start)
1979
1 reference",,http://www.wikidata.org/entity/Q466320
270,"work period (start)
1970
1 reference","work period (end)
1990
1 reference",http://www.wikidata.org/entity/Q468309
271,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q431002
272,,,http://www.wikidata.org/entity/Q475162
273,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q834338
274,,,http://www.wikidata.org/entity/Q464873
275,"work period (start)
2006
1 reference",,http://www.wikidata.org/entity/Q330970
276,"work period (start)
1954
1 reference",,http://www.wikidata.org/entity/Q331172
277,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q469215
278,,,http://www.wikidata.org/entity/Q510101
279,"work period (start)
1950
1 reference",,http://www.wikidata.org/entity/Q523103
280,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q369711
281,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q533341
282,,,http://www.wikidata.org/entity/Q337482
283,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q738291
284,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q748926
285,,,http://www.wikidata.org/entity/Q448318
286,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q368447
287,"work period (start)
1984
1 reference",,http://www.wikidata.org/entity/Q330889
288,,,http://www.wikidata.org/entity/Q465208
289,"work period (start)
1993
1 reference",,http://www.wikidata.org/entity/Q335238
290,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q465981
291,"work period (start)
1998
1 reference",,http://www.wikidata.org/entity/Q466974
292,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q467964
293,,,http://www.wikidata.org/entity/Q487198
294,,,http://www.wikidata.org/entity/Q405619
295,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q365007
296,"work period (start)
1960
1 reference",,http://www.wikidata.org/entity/Q381477
297,"work period (start)
1990
1 reference",,http://www.wikidata.org/entity/Q429143
298,"work period (start)
1970
1 reference",,http://www.wikidata.org/entity/Q434399
299,"work period (start)
1997
1 reference",,http://www.wikidata.org/entity/Q443958
300,,,http://www.wikidata.org/entity/Q448040
301,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q402203
302,,,http://www.wikidata.org/entity/Q540483
303,"work period (start)
1984
1 reference",,http://www.wikidata.org/entity/Q711035
304,"work period (start)
1989
1 reference",,http://www.wikidata.org/entity/Q717997
305,"work period (start)
1990
1 reference",,http://www.wikidata.org/entity/Q467403
306,"work period (start)
1980
1 reference",,http://www.wikidata.org/entity/Q466826
307,,,http://www.wikidata.org/entity/Q467074
308,,,http://www.wikidata.org/entity/Q725062
309,,,http://www.wikidata.org/entity/Q427623
310,"work period (start)
1978
1 reference",,http://www.wikidata.org/entity/Q726195
311,"work period (start)
1990
1 reference",,http://www.wikidata.org/entity/Q470898
312,,,http://www.wikidata.org/entity/Q477710
313,"work period (start)
2007
1 reference",,http://www.wikidata.org/entity/Q705446
314,,,http://www.wikidata.org/entity/Q483383
315,,,http://www.wikidata.org/entity/Q718211
316,"work period (start)
1960
1 reference",,http://www.wikidata.org/entity/Q496683
317,"work period (start)
1991
1 reference",,http://www.wikidata.org/entity/Q464578
318,,,http://www.wikidata.org/entity/Q464835
319,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q467416
320,"work period (start)
1989
1 reference",,http://www.wikidata.org/entity/Q786469
321,,,http://www.wikidata.org/entity/Q491459
322,"work period (start)
1974
1 reference",,http://www.wikidata.org/entity/Q630736
323,"work period (start)
1943
1 reference",,http://www.wikidata.org/entity/Q422838
324,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q511589
325,"work period (start)
1938
1 reference",,http://www.wikidata.org/entity/Q519392
326,"work period (start)
1974
1 reference",,http://www.wikidata.org/entity/Q522232
327,"work period (start)
1944
1 reference",,http://www.wikidata.org/entity/Q804792
328,,,http://www.wikidata.org/entity/Q579995
329,"work period (start)
1935
1 reference",,http://www.wikidata.org/entity/Q539885
330,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q590853
331,,,http://www.wikidata.org/entity/Q863846
332,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q704859
333,"work period (start)
2010
1 reference",,http://www.wikidata.org/entity/Q614907
334,"work period (start)
1934
1 reference",,http://www.wikidata.org/entity/Q617926
335,,,http://www.wikidata.org/entity/Q725970
336,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q642827
337,,,http://www.wikidata.org/entity/Q764803
338,"work period (start)
1944
1 reference","work period (end)
1994
0 references",http://www.wikidata.org/entity/Q720315
339,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q729982
340,,,http://www.wikidata.org/entity/Q863662
341,"work period (start)
1947
1 reference",,http://www.wikidata.org/entity/Q785011
