,imdb_id,debut_films
102,nm0471472,"[['1987', 'Chunauti', 'tt0395851'], ['1990', 'Solah Satra', 'tt2579206'], ['1997', 'Rendevouz with Simi Garewal', 'tt0275863']]"
103,nm5090026,"[['2006-2009', 'Banoo Main Teri Dulhann', 'tt7414430'], ['2018', 'Prem Gajra Ani Chilli Chicken', 'tt8111942'], ['2018', 'Prem Gajra Ani Chilli Chicken', 'tt8111942'], ['2004', ""India's Best Cinestars Ki Khoj"", 'tt8769776']]"
104,nm0837673,"[['1970', 'Aa Chithrasalabham Parannotte', 'tt0257356'], ['1977', 'Kavikuyil', 'tt0187204'], ['2004', 'M.G. Sreekumar & Sujatha Mohan: Oru Kathilola Njan', 'tt14527606'], ['1991', 'Pookkalam Varavayi', 'tt0258886']]"
105,nm1223967,"[['2002', 'Kehtaa Hai Dil Baar Baar', 'tt0322936'], ['2007', 'Miss Universe 2007', 'tt1014802']]"
106,nm2378008,"[['2007', 'The Amazing Race Asia', 'tt0944980'], ['2006', 'On Life and Enlightenment: Principles of Buddhism with His Holiness the Dalai Lama', 'tt0800151'], ['2006', 'On Life and Enlightenment: Principles of Buddhism with His Holiness the Dalai Lama', 'tt0800151'], ['2006', 'On Life and Enlightenment: Principles of Buddhism with His Holiness the Dalai Lama', 'tt0800151']]"
107,nm0223499,"[['1989', 'Manika, une vie plus tard', 'tt0095584'], ['2002', 'Omnibus', 'tt0200358']]"
108,nm0368990,"[['1978', 'Arvind Desai Ki Ajeeb Dastaan', 'tt0077179'], ['1983', 'The British Academy Awards', 'tt6626326']]"
109,nm0006765,"[['1976', 'Murder at Monkey Hill', 'tt1363123'], ['1986', 'Khamosh', 'tt0089413'], ['1976', 'Murder at Monkey Hill', 'tt1363123'], ['1976', 'Murder at Monkey Hill', 'tt1363123']]"
110,nm0849199,"[['1991', 'Patthar Ke Phool', 'tt0102645'], ['2003', 'Stumped', 'tt0357208'], ['1997', 'Deewana Mastana', 'tt0118957'], ['1994', 'Main Khiladi Tu Anari', 'tt0110438']]"
111,nm2463487,"[['1996', 'Kathapurushan', 'tt0116749'], ['2013', 'Pandiya Naadu', 'tt3232156'], ['2013', 'Pandiya Naadu', 'tt3232156'], ['2018', 'Seethakaathi', 'tt8011324']]"
112,nm0810426,"[['1979', 'Pushyaraagam', 'tt0332733'], ['1987', 'Penn Simham', 'tt0352707'], ['1993', 'Sakshal Sreeman Chathunni', 'tt0354052']]"
