,wiki_id
652,Q22350284
466,Q223988
295,Q224021
235,Q224054
2125,Q2261020
1231,Q2261046
7,Q2263
720,Q2271522
2178,Q2275891
1070,Q2280900
279,Q228650
394,Q228904
250,Q228906
230,Q228928
150,Q228931
389,Q229169
131,Q229181
124,Q229254
175,Q229410
83,Q229487
276,Q230126
657,Q230128
157,Q230131
290,Q230136
172,Q230138
431,Q230143
540,Q230147
167,Q230151
475,Q230159
246,Q230184
218,Q230188
342,Q230214
243,Q230218
341,Q230448
425,Q230626
329,Q230795
635,Q230832
464,Q230841
1118,Q2316737
415,Q2318712
616,Q2318968
352,Q232109
542,Q23215
496,Q232532
254,Q232538
313,Q232541
317,Q232562
281,Q232588
182,Q232874
679,Q232879
257,Q232933
242,Q232941
325,Q23301
1195,Q2331807
369,Q233832
384,Q233845
327,Q233850
726,Q233856
370,Q234169
1627,Q2344540
144,Q234544
1221,Q2347318
476,Q234961
413,Q235077
759,Q235759
1432,Q2357791
2097,Q2357822
1443,Q23669483
1533,Q236708
2189,Q2370120
1600,Q2373669
887,Q2377449
1876,Q2377585
56,Q23844
386,Q23848
25,Q2388576
2140,Q2391399
688,Q2394090
311,Q239691
461,Q239745
457,Q239770
837,Q240370
557,Q240566
1832,Q2405762
747,Q2419093
1128,Q2433849
914,Q246724
164,Q24829
716,Q24852137
259,Q248837
565,Q2499079
2039,Q2500741
1311,Q2506653
74,Q25089
404,Q25134
1424,Q2514156
804,Q2514268
78,Q25144
234,Q2514422
959,Q2517245
2040,Q2522160
1211,Q2522428
417,Q253282
447,Q253298
455,Q253308
314,Q253384
1902,Q2536771
368,Q25369
1130,Q2544556
1857,Q2544572
429,Q2546373
1331,Q2549739
2031,Q2549756
1922,Q2566372
1845,Q2571042
2157,Q2576629
808,Q2576962
1984,Q2577710
2156,Q2578830
1671,Q2579783
2186,Q2580804
1965,Q2580846
1117,Q2581424
512,Q258156
1360,Q2585517
374,Q2599
221,Q259913
443,Q260125
689,Q26062
891,Q260963
735,Q261314
868,Q2613709
1583,Q261615
934,Q261997
1945,Q262728
460,Q262735
424,Q2632
358,Q263486
293,Q263663
2050,Q2636767
2150,Q2641345
502,Q264276
463,Q2643
631,Q264565
1584,Q2653343
691,Q266521
534,Q26695
626,Q267441
1109,Q2675693
98,Q26821227
1524,Q26847118
750,Q269094
391,Q269214
268,Q269692
611,Q270038
723,Q270669
126,Q270730
236,Q273208
272,Q273215
874,Q273502
1450,Q2735964
1795,Q274244
356,Q2747456
1827,Q278612
1042,Q278759
1911,Q2790955
533,Q279100
1349,Q2791166
1972,Q279129
1872,Q27959916
1742,Q2798353
77,Q280098
1506,Q28020865
899,Q2802166
766,Q2803671
1895,Q28039459
721,Q280490
148,Q28054
1414,Q28059546
343,Q2808
1002,Q281022
1005,Q28123217
629,Q281939
179,Q282722
104,Q28288
275,Q2832952
910,Q28530138
1522,Q28530138
1417,Q28530518
1429,Q28530520
477,Q28534111
576,Q28534248
1154,Q28540110
491,Q28556
644,Q285928
784,Q2863473
2142,Q28675851
827,Q288337
1227,Q28839585
1475,Q28839597
1770,Q28933997
848,Q28941
1187,Q2899218
171,Q290091
500,Q290666
567,Q290962
378,Q291141
1457,Q2913255
896,Q291686
749,Q292399
1141,Q293078
16,Q29328
1961,Q29371944
682,Q2941990
411,Q294454
271,Q294641
580,Q294773
566,Q295093
294,Q295463
334,Q295593
1139,Q29583521
1359,Q29583521
487,Q29585307
363,Q295912
1212,Q295948
1324,Q2964777
280,Q296491
310,Q296630
2002,Q2966560
440,Q296698
488,Q296796
513,Q296804
798,Q297523
620,Q297935
738,Q298295
273,Q298818
722,Q298905
177,Q299194
554,Q299419
1840,Q3012709
904,Q3017563
918,Q3018583
2072,Q302535
599,Q302645
1378,Q3035731
1718,Q3038828
2207,Q3062950
468,Q30639849
619,Q306891
1635,Q30709683
955,Q30709794
301,Q3074245
1361,Q3086978
2166,Q3098984
1508,Q3101687
208,Q310324
779,Q310379
286,Q310413
492,Q310934
282,Q310960
1160,Q3115838
606,Q312073
397,Q312084
320,Q312107
598,Q312290
570,Q312364
582,Q312434
668,Q312640
577,Q312657
575,Q312674
229,Q312751
849,Q31292
828,Q31294
399,Q313198
345,Q313256
1172,Q313270
669,Q313281
470,Q313362
957,Q313371
1275,Q313554
292,Q313566
1425,Q3137
853,Q313841
321,Q314142
683,Q3141525
1188,Q314176
1454,Q314926
339,Q314935
402,Q315723
354,Q315728
416,Q315734
55,Q316446
322,Q316641
912,Q3170092
767,Q317033
472,Q317272
863,Q317574
835,Q318188
238,Q318287
421,Q318312
1685,Q3183201
858,Q3183784
481,Q318475
1152,Q3196483
781,Q319693
521,Q320025
516,Q320211
529,Q3208159
462,Q322179
1345,Q323271
1176,Q323445
176,Q324572
1255,Q325190
2126,Q3260115
1625,Q3266803
1088,Q327165
1427,Q327391
866,Q328379
353,Q328723
1525,Q329073
1092,Q3294200
445,Q329577
277,Q329719
1162,Q329972
1181,Q329998
2054,Q331123
1174,Q33124
1664,Q332043
1307,Q332046
1792,Q332325
639,Q332530
1401,Q3328202
842,Q335507
392,Q336018
574,Q336206
469,Q336640
319,Q336841
2066,Q3370884
1665,Q337089
1375,Q3371500
103,Q3371986
579,Q337206
278,Q337658
924,Q3376961
75,Q34012
1077,Q3406366
485,Q341873
1158,Q341873
1492,Q3420519
1615,Q3426152
745,Q3430928
2212,Q3431371
729,Q3435778
106,Q34460
332,Q344735
539,Q344750
388,Q344758
393,Q344793
572,Q345494
956,Q346384
123,Q347879
803,Q347945
195,Q34816
87,Q34851
1757,Q3487133
596,Q349248
66,Q349391
1342,Q3496862
191,Q350405
390,Q350666
336,Q350678
548,Q350690
703,Q350704
1197,Q351563
1087,Q3521551
2008,Q3528562
347,Q352948
755,Q353019
6,Q35332
1892,Q353768
543,Q353788
1116,Q355289
1739,Q355289
1754,Q355289
789,Q355995
704,Q3563826
1488,Q356614
718,Q356650
1218,Q3568906
269,Q357210
1788,Q357386
351,Q357627
800,Q357735
872,Q358023
396,Q358370
670,Q359311
911,Q359509
219,Q360001
622,Q360399
68,Q360531
2191,Q3610103
432,Q361336
1094,Q361720
1223,Q362210
467,Q362930
18,Q36301
807,Q363343
523,Q363413
892,Q363698
1435,Q364124
1790,Q364163
768,Q364342
1649,Q364405
817,Q365199
422,Q365230
1222,Q365310
1294,Q366320
707,Q366876
528,Q367073
665,Q367084
1499,Q367614
2022,Q367745
1394,Q368378
653,Q369190
22,Q36949
1441,Q3700365
1241,Q3701636
1198,Q3703287
501,Q370765
260,Q372394
1147,Q373115
981,Q3736945
28,Q37459
1114,Q3749342
52,Q375590
1563,Q376138
1606,Q376563
1205,Q376630
15,Q3772
1822,Q377464
1480,Q3776396
21,Q37876
1380,Q3791677
1296,Q3807917
569,Q380920
1607,Q3809962
1772,Q3810369
4,Q38111
1262,Q381807
1946,Q3827165
1983,Q383142
162,Q3840847
949,Q385055
1556,Q3880432
2004,Q389849
1740,Q390731
382,Q392
143,Q3925
1064,Q393686
1413,Q393686
1866,Q393686
1737,Q3942889
656,Q3942970
1730,Q3960118
1487,Q3973135
2206,Q3973175
48,Q39792
1808,Q400584
2033,Q4015460
412,Q402649
215,Q40475
36,Q40523
70,Q40531
63,Q40572
805,Q40663946
1708,Q4069232
1516,Q40701
33,Q40791
224,Q408650
237,Q40912
1079,Q409875
1161,Q410072
127,Q41142
24,Q41148
1602,Q4115621
46,Q41163
731,Q412771
1758,Q412883
642,Q412953
1557,Q413141
47,Q41351
1879,Q414222
783,Q414820
1055,Q414908
1358,Q415391
1807,Q415425
742,Q415562
309,Q416967
400,Q418582
84,Q41871
473,Q419454
20,Q42101
38,Q42229
161,Q4227
1666,Q424938
96,Q42574
636,Q425821
108,Q42786
14,Q42869
130,Q42930
615,Q429715
1847,Q430899
1101,Q431611
19,Q43203
178,Q43247
119,Q43252
27,Q433417
1068,Q43370948
287,Q434342
1765,Q434645
1720,Q435007
841,Q435034
1446,Q435241
1809,Q4353908
1535,Q435908
928,Q436125
454,Q436223
989,Q436384
1091,Q436530
1256,Q436584
638,Q436704
1642,Q436748
2165,Q437621
2128,Q438450
1049,Q439194
10,Q439314
1196,Q439320
1080,Q439364
1531,Q439444
926,Q439536
1436,Q439651
1613,Q439853
1338,Q440027
643,Q440313
39,Q44063
1674,Q441842
69,Q44221
2071,Q443047
856,Q445438
142,Q4465
1842,Q446763
1463,Q447433
348,Q44857
1033,Q448644
1350,Q449030
724,Q449238
663,Q449349
819,Q450022
1568,Q450620
465,Q450720
1185,Q451071
2154,Q451248
1690,Q452236
964,Q452553
1865,Q453160
1404,Q453461
1090,Q453758
1052,Q455394
